V_MinMaxNormalized,H_MinMaxNormalized,S_MinMaxNormalized,M_MinMaxNormalized
11.75,10.0,10.0,10.0
11.527,11.818,10.0,10.0
11.113,12.727,10.0,10.0
10.73,14.545,10.0,10.0
10.812,15.455,10.0,10.0
10.539,17.273,10.0,10.0
10.706,18.182,10.0,10.0
10.464,20.0,10.0,10.0
11.941,10.0,16.0,10.0
11.715,11.818,16.0,10.0
11.715,12.727,16.0,10.0
11.649,14.545,16.0,10.0
11.715,15.455,16.0,10.0
11.339,17.273,16.0,10.0
10.73,18.182,16.0,10.0
10.473,20.0,16.0,10.0
11.466,10.0,12.0,10.0
11.075,11.818,12.0,10.0
11.315,12.727,12.0,10.0
10.962,14.545,12.0,10.0
10.777,15.455,12.0,10.0
10.774,17.273,12.0,10.0
11.075,18.182,12.0,10.0
10.849,20.0,12.0,10.0
11.562,10.0,18.0,10.0
11.339,11.818,18.0,10.0
11.452,12.727,18.0,10.0
11.301,14.545,18.0,10.0
11.565,15.455,18.0,10.0
11.452,17.273,18.0,10.0
11.565,18.182,18.0,10.0
10.953,20.0,18.0,10.0
11.866,10.0,14.0,10.0
11.794,11.818,14.0,10.0
11.226,12.727,14.0,10.0
11.404,14.545,14.0,10.0
11.226,15.455,14.0,10.0
11.492,17.273,14.0,10.0
11.64,18.182,14.0,10.0
11.376,20.0,14.0,10.0
11.753,10.0,20.0,10.0
11.213,11.818,20.0,10.0
10.926,12.727,20.0,10.0
10.924,14.545,20.0,10.0
11.178,15.455,20.0,10.0
11.092,17.273,20.0,10.0
11.301,19.091,20.0,10.0
20.0,10.0,10.0,12.5
20.0,10.909,10.0,12.5
20.0,12.727,10.0,12.5
18.833,13.636,10.0,12.5
15.745,15.455,10.0,12.5
15.142,16.364,10.0,12.5
13.184,18.182,10.0,12.5
13.05,19.091,10.0,12.5
20.0,10.0,16.0,12.5
20.0,10.909,16.0,12.5
19.699,12.727,16.0,12.5
17.703,13.636,16.0,12.5
15.707,15.455,16.0,12.5
15.368,16.364,16.0,12.5
13.824,18.182,16.0,12.5
13.448,19.091,16.0,12.5
16.498,10.0,12.0,12.5
15.293,10.909,12.0,12.5
14.163,12.727,12.0,12.5
13.824,13.636,12.0,12.5
12.996,15.455,12.0,12.5
12.506,16.364,12.0,12.5
12.054,18.182,12.0,12.5
20.0,10.0,18.0,12.5
18.908,11.818,18.0,12.5
19.473,12.727,18.0,12.5
16.987,14.545,18.0,12.5
16.686,15.455,18.0,12.5
13.709,17.273,18.0,12.5
13.372,18.182,18.0,12.5
13.361,20.0,18.0,12.5
20.0,10.0,14.0,12.5
20.0,11.818,14.0,12.5
20.0,12.727,14.0,12.5
20.0,14.545,14.0,12.5
20.0,15.455,14.0,12.5
18.192,17.273,14.0,12.5
15.368,18.182,14.0,12.5
14.389,20.0,14.0,12.5
20.0,10.0,20.0,12.5
18.644,11.818,20.0,12.5
20.0,12.727,20.0,12.5
17.628,14.545,20.0,12.5
16.46,15.455,20.0,12.5
13.862,17.273,20.0,12.5
14.389,18.182,20.0,12.5
13.071,20.0,20.0,12.5
12.388,10.0,10.0,15.0
12.089,11.818,10.0,15.0
12.13,12.727,10.0,15.0
11.75,14.545,10.0,15.0
11.489,15.455,10.0,15.0
11.513,17.273,10.0,15.0
11.715,18.182,10.0,15.0
11.315,20.0,10.0,15.0
15.18,11.818,16.0,15.0
12.845,13.636,16.0,15.0
12.33,14.545,16.0,15.0
11.979,16.364,16.0,15.0
11.906,17.273,16.0,15.0
11.753,19.091,16.0,15.0
11.828,20.0,16.0,15.0
13.071,10.909,12.0,15.0
12.393,11.818,12.0,15.0
11.979,13.636,12.0,15.0
11.941,14.545,12.0,15.0
11.979,16.364,12.0,15.0
11.452,17.273,12.0,15.0
10.699,19.091,12.0,15.0
14.69,10.0,18.0,15.0
13.485,11.818,18.0,15.0
13.561,12.727,18.0,15.0
12.619,14.545,18.0,15.0
12.355,15.455,18.0,15.0
12.393,17.273,18.0,15.0
12.092,18.182,18.0,15.0
11.602,20.0,18.0,15.0
15.82,11.818,14.0,15.0
13.899,13.636,14.0,15.0
13.561,14.545,14.0,15.0
12.468,16.364,14.0,15.0
12.054,17.273,14.0,15.0
11.932,19.091,14.0,15.0
11.935,20.0,14.0,15.0
14.54,11.818,20.0,15.0
14.841,12.727,20.0,15.0
13.636,14.545,20.0,15.0
12.845,15.455,20.0,15.0
11.904,17.273,20.0,15.0
11.715,18.182,20.0,15.0
11.356,20.0,20.0,15.0
13.937,10.909,10.0,17.5
12.619,12.727,10.0,17.5
12.393,13.636,10.0,17.5
11.753,15.455,10.0,17.5
11.941,16.364,10.0,17.5
12.13,18.182,10.0,17.5
12.054,19.091,10.0,17.5
13.786,10.0,16.0,17.5
13.033,10.909,16.0,17.5
12.581,13.636,16.0,17.5
12.243,14.545,16.0,17.5
11.866,16.364,16.0,17.5
11.657,17.273,16.0,17.5
11.64,19.091,16.0,17.5
11.393,20.0,16.0,17.5
14.163,11.818,12.0,17.5
13.824,12.727,12.0,17.5
12.996,14.545,12.0,17.5
12.506,15.455,12.0,17.5
12.054,17.273,12.0,17.5
11.452,18.182,12.0,17.5
11.64,20.0,12.0,17.5
11.041,10.0,18.0,17.5
10.949,11.818,18.0,17.5
10.732,12.727,18.0,17.5
10.371,14.545,18.0,17.5
10.473,15.455,18.0,17.5
10.127,17.273,18.0,17.5
10.0,18.182,18.0,17.5
10.554,10.909,14.0,17.5
10.531,11.818,14.0,17.5
10.812,14.545,14.0,17.5
10.725,15.455,14.0,17.5
10.452,17.273,14.0,17.5
10.191,18.182,14.0,17.5
10.464,20.0,14.0,17.5
14.916,10.0,20.0,17.5
12.732,11.818,20.0,17.5
12.807,12.727,20.0,17.5
12.619,14.545,20.0,17.5
11.678,15.455,20.0,17.5
11.64,17.273,20.0,17.5
12.092,18.182,20.0,17.5
11.64,20.0,20.0,17.5
14.803,10.0,10.0,20.0
11.414,11.818,10.0,20.0
11.0,12.727,10.0,20.0
11.715,14.545,10.0,20.0
10.397,15.455,10.0,20.0
11.15,17.273,10.0,20.0
11.301,18.182,10.0,20.0
11.452,20.0,10.0,20.0
14.502,10.0,16.0,20.0
13.786,11.818,16.0,20.0
14.201,12.727,16.0,20.0
13.636,14.545,16.0,20.0
13.067,15.455,16.0,20.0
12.393,17.273,16.0,20.0
12.459,18.182,16.0,20.0
12.092,20.0,16.0,20.0
12.807,11.818,12.0,20.0
11.866,15.455,12.0,20.0
11.678,16.364,12.0,20.0
11.226,19.091,12.0,20.0
11.678,20.0,12.0,20.0
12.76,10.909,18.0,20.0
12.806,11.818,18.0,20.0
12.252,13.636,18.0,20.0
12.167,14.545,18.0,20.0
11.883,16.364,18.0,20.0
11.944,17.273,18.0,20.0
11.565,19.091,18.0,20.0
11.217,20.0,18.0,20.0
13.41,11.818,14.0,20.0
13.071,12.727,14.0,20.0
12.318,14.545,14.0,20.0
11.909,15.455,14.0,20.0
11.791,17.273,14.0,20.0
11.791,18.182,14.0,20.0
11.226,20.0,14.0,20.0
13.711,10.909,20.0,20.0
12.657,12.727,20.0,20.0
12.167,13.636,20.0,20.0
11.565,15.455,20.0,20.0
11.301,16.364,20.0,20.0
11.904,18.182,20.0,20.0
11.376,19.091,20.0,20.0
11.527,10.909,10.0,10.0
10.887,13.636,10.0,10.0
10.654,16.364,10.0,10.0
10.699,19.091,10.0,10.0
12.096,10.909,16.0,10.0
11.6,13.636,16.0,10.0
11.197,16.364,16.0,10.0
10.586,19.091,16.0,10.0
11.232,10.909,12.0,10.0
10.96,13.636,12.0,10.0
11.037,16.364,12.0,10.0
10.397,19.091,12.0,10.0
11.487,10.909,18.0,10.0
11.452,13.636,18.0,10.0
11.339,16.364,18.0,10.0
11.226,19.091,18.0,10.0
11.753,10.909,14.0,10.0
11.301,13.636,14.0,10.0
11.678,16.364,14.0,10.0
11.301,19.091,14.0,10.0
11.15,10.909,20.0,10.0
10.765,13.636,20.0,10.0
11.13,16.364,20.0,10.0
11.113,20.0,20.0,10.0
20.0,11.818,10.0,12.5
17.364,14.545,10.0,12.5
14.841,17.273,10.0,12.5
13.01,20.0,10.0,12.5
20.0,11.818,16.0,12.5
16.573,14.545,16.0,12.5
14.201,17.273,16.0,12.5
13.146,20.0,16.0,12.5
13.937,11.818,12.0,12.5
13.523,14.545,12.0,12.5
12.167,17.273,12.0,12.5
20.0,10.909,18.0,12.5
16.423,13.636,18.0,12.5
15.368,16.364,18.0,12.5
13.561,19.091,18.0,12.5
20.0,10.909,14.0,12.5
20.0,13.636,14.0,12.5
18.155,16.364,14.0,12.5
14.916,19.091,14.0,12.5
19.925,10.909,20.0,12.5
17.251,13.636,20.0,12.5
15.707,16.364,20.0,12.5
13.071,19.091,20.0,12.5
12.205,10.909,10.0,15.0
11.828,13.636,10.0,15.0
11.469,16.364,10.0,15.0
11.321,19.091,10.0,15.0
13.674,12.727,16.0,15.0
12.206,15.455,16.0,15.0
11.974,18.182,16.0,15.0
14.201,10.0,12.0,15.0
12.468,12.727,12.0,15.0
11.941,15.455,12.0,15.0
11.037,18.182,12.0,15.0
13.523,10.909,18.0,15.0
12.92,13.636,18.0,15.0
10.924,16.364,18.0,15.0
11.301,19.091,18.0,15.0
14.389,12.727,14.0,15.0
12.732,15.455,14.0,15.0
12.28,18.182,14.0,15.0
16.912,10.909,20.0,15.0
14.05,13.636,20.0,15.0
12.581,16.364,20.0,15.0
11.414,19.091,20.0,15.0
13.41,11.818,10.0,17.5
12.28,14.545,10.0,17.5
11.376,17.273,10.0,17.5
12.017,20.0,10.0,17.5
12.814,11.818,16.0,17.5
12.017,15.455,16.0,17.5
11.695,18.182,16.0,17.5
13.937,10.909,12.0,17.5
13.523,13.636,12.0,17.5
12.167,16.364,12.0,17.5
11.602,19.091,12.0,17.5
10.923,10.909,18.0,17.5
10.552,13.636,18.0,17.5
10.365,16.364,18.0,17.5
10.823,10.0,14.0,17.5
10.322,12.727,14.0,17.5
10.699,16.364,14.0,17.5
10.151,19.091,14.0,17.5
13.297,10.909,20.0,17.5
12.694,13.636,20.0,17.5
11.866,16.364,20.0,17.5
11.715,19.091,20.0,17.5
13.071,10.909,10.0,20.0
11.226,13.636,10.0,20.0
11.979,16.364,10.0,20.0
11.527,19.091,10.0,20.0
14.276,10.909,16.0,20.0
13.844,13.636,16.0,20.0
12.544,16.364,16.0,20.0
12.135,19.091,16.0,20.0
12.058,13.636,12.0,20.0
11.527,18.182,12.0,20.0
13.098,10.0,18.0,20.0
12.411,12.727,18.0,20.0
12.249,15.455,18.0,20.0
11.523,18.182,18.0,20.0
14.012,10.909,14.0,20.0
12.506,13.636,14.0,20.0
11.866,16.364,14.0,20.0
11.565,19.091,14.0,20.0
13.071,11.818,20.0,20.0
11.941,14.545,20.0,20.0
12.054,17.273,20.0,20.0
11.452,20.0,20.0,20.0
